Lista de Materiales — tal como la entregó Sistemas;;;;
56.207 líneas: Modelo -> Insumo -> Cantidad por unidad. Es el insumo base de todos los cálculos de este archivo.;;;;
;;;;
Modelo (base);Insumo (materia prima);Cantidad por unidad;UdM;
DONATO(L)- RINCONERO ALM. FIJO;VORANOL 3943 (COPO)           ;705,5919;g;
DONATO(L)- RINCONERO ALM. FIJO;SILICONA1 B 8228 - 594        ;34,9323;g;
DONATO(L)- RINCONERO ALM. FIJO;PASTA ROJA                    ;3,042;g;
DONATO(L)- RINCONERO ALM. FIJO;Cascara;2,36;kg;
DONATO(L)- RINCONERO ALM. FIJO;FIBRA HUECA/CONJ/SIL15DX64(VEL;4,25;kg;
DONATO(L)- RINCONERO ALM. FIJO;AUT HEX. MAD P AGU T2 12X1 1/2;10;Units;
DONATO(L)- RINCONERO ALM. FIJO;AUT HEX. MAD P AGU T2 12X2;18;Units;
DONATO(L)- RINCONERO ALM. FIJO;AUT HEX. MAD P AGU T2 12X3;4;Units;
DONATO(L)- RINCONERO ALM. FIJO;CADENA NYLON N 5 (ESTANDAR);1,65;m;
DONATO(L)- RINCONERO ALM. FIJO;CEMENTO SOLIDEX 0777 FC 0782MV;1,1;kg;
DONATO(L)- RINCONERO ALM. FIJO;CINCHA ELASTICA ASIENTO;19,1;m;
DONATO(L)- RINCONERO ALM. FIJO;DESLIZADOR NRO 5;3;Units;
DONATO(L)- RINCONERO ALM. FIJO;ETIQUETA BORDAD LIVING;2;Units;
DONATO(L)- RINCONERO ALM. FIJO;FILM STRETCH50CM 23 MIC INDUST;0,28;kg;
DONATO(L)- RINCONERO ALM. FIJO;FORRO 21MM (ESTANDAR);12,5;m;
DONATO(L)- RINCONERO ALM. FIJO;GRAMPA 84/14;0,81;Unidad de Mil;
DONATO(L)- RINCONERO ALM. FIJO;GRAMPA 84/8;1,88;Unidad de Mil;
DONATO(L)- RINCONERO ALM. FIJO;GRAMPA 92/40;0,85;Unidad de Mil;
DONATO(L)- RINCONERO ALM. FIJO;GUATA 100G 150M;1,74;m;
DONATO(L)- RINCONERO ALM. FIJO;HILO VAHE (ESTANDAR) X;100;m;
DONATO(L)- RINCONERO ALM. FIJO;LIENZO ALPILLERA 0.50;1,84;m;
DONATO(L)- RINCONERO ALM. FIJO;LIENZO TNT 75 ANCHO (ALPILL);1,97;m;
